no	n o |
reciclaje	r e c i c l a j e |
conduzco	c o n d u z c o |
mareada	m a r e a d a |
provocado	p r o v o c a d o |
excito	e x c i t o |
alumbrad	a l u m b r a d |
económicos	e c o n ó m i c o s |
martirià	m a r t i r i à |
fundamentados	f u n d a m e n t a d o s |
monótona	m o n ó t o n a |
rebaño	r e b a ñ o |
elijo	e l i j o |
éxtasis	é x t a s i s |
pinos	p i n o s |
actives	a c t i v e s |
altavoz	a l t a v o z |
vibración	v i b r a c i ó n |
gallo	g a l l o |
garganta	g a r g a n t a |
visitar	v i s i t a r |
agregado	a g r e g a d o |
pedáneo	p e d á n e o |
escritor	e s c r i t o r |
tocase	t o c a s e |
incontinenti	i n c o n t i n e n t i |
espumas	e s p u m a s |
coloreó	c o l o r e ó |
baleares	b a l e a r e s |
náuticas	n á u t i c a s |
hojas	h o j a s |
danzan	d a n z a n |
pañuelos	p a ñ u e l o s |
planchar	p l a n c h a r |
mantienen	m a n t i e n e n |
indefinida	i n d e f i n i d a |
mayorazgo	m a y o r a z g o |
comerás	c o m e r á s |
derribados	d e r r i b a d o s |
gallardamente	g a l l a r d a m e n t e |
jaranos	j a r a n o s |
castoreños	c a s t o r e ñ o s |
entoquillados	e n t o q u i l l a d o s |
fanfarrones	f a n f a r r o n e s |
marciales	m a r c i a l e s |
fascinado	f a s c i n a d o |
marcianos	m a r c i a n o s |
estorbó	e s t o r b ó |
asiéndose	a s i é n d o s e |
riendas	r i e n d a s |
desolada	d e s o l a d a |
novicia	n o v i c i a |
inventar	i n v e n t a r |
verbos	v e r b o s |
villaje	v i l l a j e |
tentar	t e n t a r |
toparnos	t o p a r n o s |
tened	t e n e d |
volcó	v o l c ó |
maté	m a t é |
mataperros	m a t a p e r r o s |
llamaron	l l a m a r o n |
heces	h e c e s |
tuviera	t u v i e r a |
conectividad	c o n e c t i v i d a d |
iría	i r í a |
perezoso	p e r e z o s o |
humanos	h u m a n o s |
asistió	a s i s t i ó |
acto	a c t o |
organizado	o r g a n i z a d o |
rotary	r o t a r y |
gruesas	g r u e s a s |
señal	s e ñ a l |
agonía	a g o n í a |
rubias	r u b i a s |
rubios	r u b i o s |
príncipes	p r í n c i p e s |
encantamento	e n c a n t a m e n t o |
acceso	a c c e s o |
ocurrió	o c u r r i ó |
falla	f a l l a |
turbada	t u r b a d a |
enjugó	e n j u g ó |
industria	i n d u s t r i a |
chapucero	c h a p u c e r o |
revista	r e v i s t a |
bigotes	b i g o t e s |
inutilizaran	i n u t i l i z a r a n |
creí	c r e í |
adivinar	a d i v i n a r |
generosa	g e n e r o s a |
diligencia	d i l i g e n c i a |
languidez	l a n g u i d e z |
selene	s e l e n e |
tejer	t e j e r |
lllamaron	l l l a m a r o n |
mantiene	m a n t i e n e |
remates	r e m a t e s |
mulato	m u l a t o |
socialistas	s o c i a l i s t a s |
llevaban	l l e v a b a n |
plenos	p l e n o s |
herramienta	h e r r a m i e n t a |
espaciosa	e s p a c i o s a |
perfumada	p e r f u m a d a |
albahaca	a l b a h a c a |
veinticinco	v e i n t i c i n c o |
riesgo	r i e s g o |
lágrima	l á g r i m a |
albahacas	a l b a h a c a s |
húmedas	h ú m e d a s |
rocío	r o c í o |
fragancia	f r a g a n c i a |
intensa	i n t e n s a |
desusada	d e s u s a d a |
alegremente	a l e g r e m e n t e |
cima	c i m a |
viviendo	v i v i e n d o |
riéndome	r i é n d o m e |
señoreaba	s e ñ o r e a b a |
ventas	v e n t a s |
diera	d i e r a |
boqueadas	b o q u e a d a s |
reacciona	r e a c c i o n a |
enfriando	e n f r i a n d o |
pizzas	p i z z a s |
platique	p l a t i q u e |
top	t o p |
depiladas	d e p i l a d a s |
escaleras	e s c a l e r a s |
recién	r e c i é n |
fregadas	f r e g a d a s |
dibújase	d i b ú j a s e |
indecisión	i n d e c i s i ó n |
fantástica	f a n t á s t i c a |
límpido	l í m p i d o |
pereza	p e r e z a |
arriar	a r r i a r |
vendaval	v e n d a v a l |
rompa	r o m p a |
tegusco	t e g u s c o |
caravana	c a r a v a n a |
estudiante	e s t u d i a n t e |
puzle	p u z l e |
ésta	é s t a |
explotamos	e x p l o t a m o s |
cintas	c i n t a s |
sigüenza	s i g ü e n z a |
monté	m o n t é |
sectores	s e c t o r e s |
revolucionarios	r e v o l u c i o n a r i o s |
motivados	m o t i v a d o s |
bochorno	b o c h o r n o |
insoportable	i n s o p o r t a b l e |
caminamos	c a m i n a m o s |
chivas	c h i v a s |
insultar	i n s u l t a r |
incompetencia	i n c o m p e t e n c i a |
cervical	c e r v i c a l |
dinos	d i n o s |
apasionado	a p a s i o n a d o |
pija	p i j a |
bribonzuelos	b r i b o n z u e l o s |
reían	r e í a n |
miraban	m i r a b a n |
caritas	c a r i t a s |
diablillos	d i a b l i l l o s |
regocijados	r e g o c i j a d o s |
desfallecía	d e s f a l l e c í a |
viajaba	v i a j a b a |
suecia	s u e c i a |
cabrilleaban	c a b r i l l e a b a n |
villaverdinos	v i l l a v e r d i n o s |
tesoro	t e s o r o |
dato	d a t o |
confirme	c o n f i r m e |
vagón	v a g ó n |
equipajes	e q u i p a j e s |
envueltas	e n v u e l t a s |
crepúsculo	c r e p ú s c u l o |
sentimientos	s e n t i m i e n t o s |
sacrificaré	s a c r i f i c a r é |
nardos	n a r d o s |
judea	j u d e a |
deshojaba	d e s h o j a b a |
senos	s e n o s |
deténgase	d e t é n g a s e |
contusiones	c o n t u s i o n e s |
graves	g r a v e s |
tronos	t r o n o s |
giro	g i r o |
gustaron	g u s t a r o n |
espronceda	e s p r o n c e d a |
incluido	i n c l u i d o |
yoga	y o g a |
tripa	t r i p a |
abonada	a b o n a d a |
tropecientas	t r o p e c i e n t a s |
relajas	r e l a j a s |
ruidos	r u i d o s |
dada	d a d a |
sagrada	s a g r a d a |
errando	e r r a n d o |
acertando	a c e r t a n d o |
impactado	i m p a c t a d o |
trasplante	t r a s p l a n t e |
seguí	s e g u í |
rebelde	r e b e l d e |
muerde	m u e r d e |
brota	b r o t a |
colgada	c o l g a d a |
colosal	c o l o s a l |
chorreando	c h o r r e a n d o |
empalmado	e m p a l m a d o |
barrera	b a r r e r a |
recuperado	r e c u p e r a d o |
catarro	c a t a r r o |
cogí	c o g í |
pasada	p a s a d a |
echarme	e c h a r m e |
soplar	s o p l a r |
mamíferos	m a m í f e r o s |
vitaminas	v i t a m i n a s |
apariencias	a p a r i e n c i a s |
engañan	e n g a ñ a n |
interfaz	i n t e r f a z |
diseño	d i s e ñ o |
intuitivo	i n t u i t i v o |
sangrado	s a n g r a d o |
comienzo	c o m i e n z o |
fatigosa	f a t i g o s a |
cerdanya	c e r d a n y a |
bailado	b a i l a d o |
bailo	b a i l o |
cagas	c a g a s |
atasco	a t a s c o |
derrota	d e r r o t a |
pellizcos	p e l l i z c o s |
pezones	p e z o n e s |
sucia	s u c i a |
olvidada	o l v i d a d a |
plantar	p l a n t a r |
esconde	e s c o n d e |
ferran	f e r r a n |
coloración	c o l o r a c i ó n |
terracota	t e r r a c o t a |
ensabanado	e n s a b a n a d o |
fío	f í o |
hayamos	h a y a m o s |
huela	h u e l a |
íbamos	í b a m o s |
abandonadas	a b a n d o n a d a s |
distraídos	d i s t r a í d o s |
fallado	f a l l a d o |
zapatillas	z a p a t i l l a s |
overo	o v e r o |
embridado	e m b r i d a d o |
esculpido	e s c u l p i d o |
orgullo	o r g u l l o |
hartas	h a r t a s |
leguas	l e g u a s |
cornellá	c o r n e l l á |
catalina	c a t a l i n a |
estampa	e s t a m p a |
registrado	r e g i s t r a d o |
correctamente	c o r r e c t a m e n t e |
formaban	f o r m a b a n |
calabazas	c a l a b a z a s |
corrían	c o r r í a n |
oyó	o y ó |
ordenando	o r d e n a n d o |
escarcha	e s c a r c h a |
oiga	o i g a |
preguntado	p r e g u n t a d o |
canica	c a n i c a |
perderte	p e r d e r t e |
costará	c o s t a r á |
servirle	s e r v i r l e |
supe	s u p e |
desdeñoso	d e s d e ñ o s o |
divino	d i v i n o |
soneto	s o n e t o |
centauro	c e n t a u r o |
entusiasma	e n t u s i a s m a |
vivido	v i v i d o |
tornábamos	t o r n á b a m o s |
diversidad	d i v e r s i d a d |
social	s o c i a l |
acogedor	a c o g e d o r |
olerdola	o l e r d o l a |
cantautores	c a n t a u t o r e s |
rioja	r i o j a |
cascas	c a s c a s |
morreo	m o r r e o |
asegurado	a s e g u r a d o |
guia	g u i a |
alambre	a l a m b r e |
lanzarnos	l a n z a r n o s |
torpeza	t o r p e z a |
reto	r e t o |
isabel	i s a b e l |
desprecias	d e s p r e c i a s |
suplicante	s u p l i c a n t e |
comes	c o m e s |
empanado	e m p a n a d o |
entornó	e n t o r n ó |
alejandría	a l e j a n d r í a |
vomitando	v o m i t a n d o |
cubos	c u b o s |
laguna	l a g u n a |
probarlo	p r o b a r l o |
hiriente	h i r i e n t e |
esperas	e s p e r a s |
boom	b o o m |
llegaba	l l e g a b a |
estáis	e s t á i s |
caprichosa	c a p r i c h o s a |
mordía	m o r d í a |
mandándome	m a n d á n d o m e |
quieto	q u i e t o |
creen	c r e e n |
temible	t e m i b l e |
valedor	v a l e d o r |
trazando	t r a z a n d o |
altas	a l t a s |
rayita	r a y i t a |
castigaba	c a s t i g a b a |
dominar	d o m i n a r |
berberisca	b e r b e r i s c a |
artes	a r t e s |
enamorar	e n a m o r a r |
aprendidas	a p r e n d i d a s |
ovidio	o v i d i o |
paisajes	p a i s a j e s |
caserío	c a s e r í o |
inverosímil	i n v e r o s í m i l |
entenderlo	e n t e n d e r l o |
restringido	r e s t r i n g i d o |
programar	p r o g r a m a r |
habiliades	h a b i l i a d e s |
organización	o r g a n i z a c i ó n |
tropas	t r o p a s |
rezando	r e z a n d o |
rosarios	r o s a r i o s |
envueltos	e n v u e l t o s |
pestañas	p e s t a ñ a s |
dormí	d o r m í |
chambergos	c h a m b e r g o s |
bordados	b o r d a d o s |
brillaban	b r i l l a b a n |
pleitean	p l e i t e a n |
tercero	t e r c e r o |
aprovecha	a p r o v e c h a |
torre	t o r r e |
reloj	r e l o j |
corcho	c o r c h o |
optimista	o p t i m i s t a |
rechazar	r e c h a z a r |
magreos	m a g r e o s |
coqueteos	c o q u e t e o s |
mascotas	m a s c o t a s |
porfi	p o r f i |
flirtear	f l i r t e a r |
tontear	t o n t e a r |
echarte	e c h a r t e |
robado	r o b a d o |
chinita	c h i n i t a |
lingüística	l i n g ü í s t i c a |
materia	m a t e r i a |
hecha	h e c h a |
arrugue	a r r u g u e |
operarla	o p e r a r l a |
pillar	p i l l a r |
sonia	s o n i a |
veintiún	v e i n t i ú n |
temas	t e m a s |
sabré	s a b r é |
imponer	i m p o n e r |
pararon	p a r a r o n |
reprochaban	r e p r o c h a b a n |
consentían	c o n s e n t í a n |
paseaba	p a s e a b a |
toldilla	t o l d i l l a |
misericordia	m i s e r i c o r d i a |
olvidarme	o l v i d a r m e |
ocurrido	o c u r r i d o |
ahoga	a h o g a |
rías	r í a s |
riño	r i ñ o |
enviarte	e n v i a r t e |
repicando	r e p i c a n d o |
avisa	a v i s a |
cantantes	c a n t a n t e s |
cubiertos	c u b i e r t o s |
sortijas	s o r t i j a s |
desposada	d e s p o s a d a |
neobarroca	n e o b a r r o c a |
pijama	p i j a m a |
cuadritos	c u a d r i t o s |
comodísimo	c o m o d í s i m o |
sajarlo	s a j a r l o |
pus	p u s |
alien	a l i e n |
comprendí	c o m p r e n d í |
temía	t e m í a |
conocida	c o n o c i d a |
odiarte	o d i a r t e |
esquinas	e s q u i n a s |
bruñida	b r u ñ i d a |
farlopa	f a r l o p a |
afecto	a f e c t o |
tradición	t r a d i c i ó n |
consiste	c o n s i s t e |
tocarse	t o c a r s e |
mentón	m e n t ó n |
talón	t a l ó n |
inferior	i n f e r i o r |
estudiaste	e s t u d i a s t e |
conecte	c o n e c t e |
dispositivo	d i s p o s i t i v o |
patitas	p a t i t a s |
apareció	a p a r e c i ó |
insistente	i n s i s t e n t e |
desconocida	d e s c o n o c i d a |
sepultada	s e p u l t a d a |
momias	m o m i a s |
filipino	f i l i p i n o |
velando	v e l a n d o |
vecina	v e c i n a |
capazo	c a p a z o |
viéndola	v i é n d o l a |
afligida	a f l i g i d a |
acaricié	a c a r i c i é |
reclinándola	r e c l i n á n d o l a |
dejaros	d e j a r o s |
estupideces	e s t u p i d e c e s |
iros	i r o s |
murcia	m u r c i a |
licenciado	l i c e n c i a d o |
lavadoras	l a v a d o r a s |
bióloga	b i ó l o g a |
cumplimentarlas	c u m p l i m e n t a r l a s |
pegado	p e g a d o |
agar	a g a r |
ingratos	i n g r a t o s |
seguirlo	s e g u i r l o |
navegación	n a v e g a c i ó n |
bonanza	b o n a n z a |
resulta	r e s u l t a |
azoteas	a z o t e a s |
enchapadas	e n c h a p a d a s |
azulejos	a z u l e j o s |
lejanías	l e j a n í a s |
límpidas	l í m p i d a s |
vendimos	v e n d i m o s |
escribieron	e s c r i b i e r o n |
haría	h a r í a |
carmelita	c a r m e l i t a |
jardincillo	j a r d i n c i l l o |
balanceaban	b a l a n c e a b a n |
rumorosas	r u m o r o s a s |
vela	v e l a |
partidos	p a r t i d o s |
esquilas	e s q u i l a s |
campanilleo	c a m p a n i l l e o |
ardían	a r d í a n |
fogatas	f o g a t a s |
olorosos	o l o r o s o s |
rastrojos	r a s t r o j o s |
estrechó	e s t r e c h ó |
anquilosados	a n q u i l o s a d o s |
detenerme	d e t e n e r m e |
arreando	a r r e a n d o |
generoso	g e n e r o s o |
refranes	r e f r a n e s |
hadas	h a d a s |
arboleda	a r b o l e d a |
usarlo	u s a r l o |
deshacerse	d e s h a c e r s e |
examine	e x a m i n e |
metían	m e t í a n |
lona	l o n a |
tocaban	t o c a b a n |
organillos	o r g a n i l l o s |
dislocados	d i s l o c a d o s |
comeréis	c o m e r é i s |
platicar	p l a t i c a r |
transportarte	t r a n s p o r t a r t e |
fascinantes	f a s c i n a n t e s |
aldeas	a l d e a s |
compatible	c o m p a t i b l e |
accidentes	a c c i d e n t e s |
intentaba	i n t e n t a b a |
basura	b a s u r a |
venderlos	v e n d e r l o s |
conseguía	c o n s e g u í a |
tesoros	t e s o r o s |
jode	j o d e |
bailarín	b a i l a r í n |
falte	f a l t e |
campeonato	c a m p e o n a t o |
natación	n a t a c i ó n |
ternera	t e r n e r a |
mollerussa	m o l l e r u s s a |
gustito	g u s t i t o |
gozos	g o z o s |
guadalupe	g u a d a l u p e |
normales	n o r m a l e s |
achaques	a c h a q u e s |
desmazalado	d e s m a z a l a d o |
manipular	m a n i p u l a r |
maquinaria	m a q u i n a r i a |
quitará	q u i t a r á |
pongan	p o n g a n |
olvidaba	o l v i d a b a |
caseta	c a s e t a |
cubrirlo	c u b r i r l o |
abetos	a b e t o s |
creerían	c r e e r í a n |
anuncios	a n u n c i o s |
quitada	q u i t a d a |
cartel	c a r t e l |
incluiría	i n c l u i r í a |
gansos	g a n s o s |
grasas	g r a s a s |
giramos	g i r a m o s |
descanse	d e s c a n s e |
medicinas	m e d i c i n a s |
controlar	c o n t r o l a r |
alcancemos	a l c a n c e m o s |
desayunara	d e s a y u n a r a |
propone	p r o p o n e |
recuerdan	r e c u e r d a n |
estabilizar	e s t a b i l i z a r |
deciden	d e c i d e n |
privarte	p r i v a r t e |
zanjar	z a n j a r |
ahogarme	a h o g a r m e |
haberme	h a b e r m e |
perderme	p e r d e r m e |
vastedad	v a s t e d a d |
azteca	a z t e c a |
perdición	p e r d i c i ó n |
insulte	i n s u l t e |
encantaría	e n c a n t a r í a |
aprobar	a p r o b a r |
asignatura	a s i g n a t u r a |
calurosa	c a l u r o s a |
difusión	d i f u s i ó n |
objetivo	o b j e t i v o |
principal	p r i n c i p a l |
ruin	r u i n |
parentesco	p a r e n t e s c o |
repetí	r e p e t í |
emitiera	e m i t i e r a |
onda	o n d a |
hortelano	h o r t e l a n o |
cortesana	c o r t e s a n a |
medra	m e d r a |
generales	g e n e r a l e s |
americanos	a m e r i c a n o s |
toreros	t o r e r o s |
judíos	j u d í o s |
ingleses	i n g l e s e s |
evacuamos	e v a c u a m o s |
fijaste	f i j a s t e |
hermosos	h e r m o s o s |
hipnótico	h i p n ó t i c o |
sagrado	s a g r a d o |
acariciaron	a c a r i c i a r o n |
románticos	r o m á n t i c o s |
superviviente	s u p e r v i v i e n t e |
mínimo	m í n i m o |
maldita	m a l d i t a |
mirra	m i r r a |
salomé	s a l o m é |
mostrábanme	m o s t r á b a n m e |
angelote	a n g e l o t e |
potricas	p o t r i c a s |
defendió	d e f e n d i ó |
bravamente	b r a v a m e n t e |
prendiendo	p r e n d i e n d o |
dudan	d u d a n |
madrigal	m a d r i g a l |
implementar	i m p l e m e n t a r |
mesas	m e s a s |
individuales	i n d i v i d u a l e s |
zurdos	z u r d o s |
directos	d i r e c t o s |
cabalgata	c a b a l g a t a |
deslizamientos	d e s l i z a m i e n t o s |
enoja	e n o j a |
inmóviles	i n m ó v i l e s |
olvidará	o l v i d a r á |
aproximaremos	a p r o x i m a r e m o s |
vianda	v i a n d a |
soñar	s o ñ a r |
papeles	p a p e l e s |
arrugados	a r r u g a d o s |
aceituna	a c e i t u n a |
dibujos	d i b u j o s |
cuentan	c u e n t a n |
ondean	o n d e a n |
asta	a s t a |
duelo	d u e l o |
incorporó	i n c o r p o r ó |
soltando	s o l t a n d o |
olvidarán	o l v i d a r á n |
brillas	b r i l l a s |
precio	p r e c i o |
venta	v e n t a |
dadle	d a d l e |
picó	p i c ó |
uñas	u ñ a s |
acercó	a c e r c ó |
lleguéme	l l e g u é m e |
viéndoles	v i é n d o l e s |
campiña	c a m p i ñ a |
sintiese	s i n t i e s e |
nupcias	n u p c i a s |
prometido	p r o m e t i d o |
disputáronse	d i s p u t á r o n s e |
pillo	p i l l o |
penetrado	p e n e t r a d o |
queja	q u e j a |
lanzaban	l a n z a b a n |
sacó	s a c ó |
hondo	h o n d o |
pegajoso	p e g a j o s o |
cangilón	c a n g i l ó n |
olió	o l i ó |
rollito	r o l l i t o |
boy	b o y |
scout	s c o u t |
volaremos	v o l a r e m o s |
ladrar	l a d r a r |
prestado	p r e s t a d o |
demonio	d e m o n i o |
repitiendo	r e p i t i e n d o |
recomendación	r e c o m e n d a c i ó n |
infectados	i n f e c t a d o s |
amazonas	a m a z o n a s |
podrás	p o d r á s |
alzamos	a l z a m o s |
vasos	v a s o s |
aprendiste	a p r e n d i s t e |
olvidaste	o l v i d a s t e |
pensará	p e n s a r á |
alejaos	a l e j a o s |
metales	m e t a l e s |
vestiduras	v e s t i d u r a s |
plegadas	p l e g a d a s |
esmero	e s m e r o |
entrenamiento	e n t r e n a m i e n t o |
academia	a c a d e m i a |
desaprovechados	d e s a p r o v e c h a d o s |
bombas	b o m b a s |
dijeron	d i j e r o n |
escuches	e s c u c h e s |
dejaron	d e j a r o n |
preocupe	p r e o c u p e |
supuesto	s u p u e s t o |
léete	l é e t e |
aprobarás	a p r o b a r á s |
desierta	d e s i e r t a |
oscura	o s c u r a |
sobrecogí	s o b r e c o g í |
percíbense	p e r c í b e n s e |
ceñudo	c e ñ u d o |
arrojé	a r r o j é |
arreglarlo	a r r e g l a r l o |
galleta	g a l l e t a |
tóxico	t ó x i c o |
teléfonos	t e l é f o n o s |
móviles	m ó v i l e s |
vibria	v i b r i a |
agosto	a g o s t o |
arroyo	a r r o y o |
swing	s w i n g |
engancha	e n g a n c h a |
bajó	b a j ó |
responder	r e s p o n d e r |
agente	a g e n t e |
viniera	v i n i e r a |
compruebe	c o m p r u e b e |
atascado	a t a s c a d o |
dispone	d i s p o n e |
reconciliación	r e c o n c i l i a c i ó n |
total	t o t a l |
asegurar	a s e g u r a r |
marchando	m a r c h a n d o |
aceitunita	a c e i t u n i t a |
colada	c o l a d a |
oyendo	o y e n d o |
santiguóse	s a n t i g u ó s e |
tablas	t a b l a s |
multiplicar	m u l t i p l i c a r |
harvard	h a r v a r d |
jodidos	j o d i d o s |
pendejos	p e n d e j o s |
adorables	a d o r a b l e s |
ajustados	a j u s t a d o s |
oriental	o r i e n t a l |
ungióse	u n g i ó s e |
esencias	e s e n c i a s |
malinterpretar	m a l i n t e r p r e t a r |
resguardo	r e s g u a r d o |
objeto	o b j e t o |
diseñado	d i s e ñ a d o |
equivoco	e q u i v o c o |
salvarle	s a l v a r l e |
bobby	b o b b y |
desapercibido	d e s a p e r c i b i d o |
pertenezco	p e r t e n e z c o |
andrade	a n d r a d e |
soldaduras	s o l d a d u r a s |
balas	b a l a s |
disparadas	d i s p a r a d a s |
armas	a r m a s |
cortas	c o r t a s |
deparado	d e p a r a d o |
